Time, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5
0.0000e+00,2.1410e+03,2.0780e+03,2.4000e+01,2.1080e+03,3.1000e+01
3.2000e-05,2.1410e+03,2.0780e+03,2.4000e+01,2.1080e+03,3.1000e+01
6.4000e-05,2.1420e+03,2.1030e+03,2.5000e+01,2.0780e+03,3.7000e+01
9.6000e-05,2.1290e+03,2.1180e+03,2.5000e+01,2.0440e+03,3.7000e+01
1.2800e-04,2.1050e+03,2.1270e+03,2.5000e+01,2.0170e+03,3.7000e+01
1.6000e-04,2.0660e+03,2.1190e+03,2.5000e+01,1.9910e+03,3.8000e+01
1.9200e-04,2.0310e+03,2.0990e+03,2.6000e+01,1.9710e+03,3.8000e+01
2.2400e-04,1.9970e+03,2.0680e+03,2.6000e+01,1.9630e+03,3.9000e+01
2.5600e-04,1.9730e+03,2.0320e+03,2.7000e+01,1.9720e+03,4.1000e+01
2.8800e-04,1.9630e+03,2.0020e+03,2.7000e+01,1.9970e+03,4.1000e+01
3.2000e-04,1.9650e+03,1.9770e+03,2.8000e+01,2.0260e+03,4.2000e+01
3.5200e-04,1.9840e+03,1.9640e+03,2.6000e+01,2.0550e+03,3.9000e+01
3.8400e-04,2.0170e+03,1.9660e+03,2.7000e+01,2.0830e+03,4.0000e+01
4.1600e-04,2.0560e+03,1.9830e+03,2.5000e+01,2.1110e+03,3.7000e+01
4.4800e-04,2.0930e+03,2.0100e+03,2.5000e+01,2.1320e+03,3.6000e+01
4.8000e-04,2.1210e+03,2.0420e+03,2.7000e+01,2.1390e+03,3.9000e+01
5.1200e-04,2.1440e+03,2.0760e+03,2.9000e+01,2.1300e+03,4.1000e+01
5.4400e-04,2.1560e+03,2.1040e+03,2.7000e+01,2.1070e+03,3.9000e+01
5.7600e-04,2.1480e+03,2.1260e+03,2.7000e+01,2.0740e+03,4.0000e+01
6.0800e-04,2.1270e+03,2.1400e+03,2.6000e+01,2.0450e+03,3.9000e+01
6.4000e-04,2.0920e+03,2.1400e+03,2.6000e+01,2.0170e+03,3.9000e+01
6.7200e-04,2.0590e+03,2.1270e+03,2.5000e+01,1.9940e+03,3.8000e+01
7.0400e-04,2.0220e+03,2.0980e+03,2.6000e+01,1.9790e+03,3.9000e+01
7.3600e-04,1.9940e+03,2.0670e+03,2.6000e+01,1.9800e+03,3.9000e+01
7.6800e-04,1.9760e+03,2.0330e+03,2.6000e+01,1.9970e+03,3.9000e+01
8.0000e-04,1.9730e+03,2.0030e+03,2.6000e+01,2.0240e+03,4.0000e+01
8.3200e-04,1.9860e+03,1.9870e+03,2.7000e+01,2.0540e+03,4.0000e+01
8.6400e-04,2.0140e+03,1.9820e+03,2.8000e+01,2.0810e+03,4.1000e+01
8.9600e-04,2.0480e+03,1.9920e+03,2.8000e+01,2.1070e+03,4.1000e+01
9.2800e-04,2.0870e+03,2.0140e+03,2.7000e+01,2.1320e+03,3.9000e+01
9.6000e-04,2.1190e+03,2.0410e+03,2.6000e+01,2.1470e+03,3.8000e+01
9.9200e-04,2.1470e+03,2.0740e+03,2.7000e+01,2.1450e+03,4.0000e+01
1.0240e-03,2.1630e+03,2.1060e+03,2.7000e+01,2.1270e+03,3.9000e+01
1.0560e-03,2.1660e+03,2.1300e+03,2.7000e+01,2.0960e+03,3.9000e+01
1.0880e-03,2.1550e+03,2.1530e+03,2.5000e+01,2.0690e+03,3.8000e+01
1.1200e-03,2.1220e+03,2.1550e+03,2.6000e+01,2.0350e+03,3.9000e+01
1.1520e-03,2.0860e+03,2.1520e+03,2.6000e+01,2.0110e+03,3.9000e+01
1.1840e-03,2.0490e+03,2.1280e+03,2.5000e+01,1.9920e+03,3.8000e+01
1.2160e-03,2.0160e+03,2.0950e+03,2.4000e+01,1.9830e+03,3.6000e+01
1.2480e-03,1.9920e+03,2.0610e+03,2.5000e+01,1.9920e+03,3.7000e+01
1.2800e-03,1.9780e+03,2.0280e+03,2.6000e+01,2.0130e+03,3.9000e+01
1.3120e-03,1.9830e+03,2.0030e+03,2.6000e+01,2.0430e+03,3.8000e+01
1.3440e-03,2.0010e+03,1.9880e+03,2.6000e+01,2.0690e+03,3.8000e+01
1.3760e-03,2.0320e+03,1.9880e+03,2.5000e+01,2.0960e+03,3.8000e+01
1.4080e-03,2.0700e+03,2.0020e+03,2.5000e+01,2.1210e+03,3.8000e+01
1.4400e-03,2.1050e+03,2.0270e+03,2.5000e+01,2.1400e+03,3.7000e+01
1.4720e-03,2.1350e+03,2.0610e+03,2.6000e+01,2.1480e+03,3.8000e+01
1.5040e-03,2.1570e+03,2.0920e+03,2.9000e+01,2.1360e+03,4.2000e+01
1.5360e-03,2.1690e+03,2.1220e+03,2.9000e+01,2.1100e+03,4.3000e+01
1.5680e-03,2.1630e+03,2.1450e+03,2.9000e+01,2.0790e+03,4.2000e+01
1.6000e-03,2.1370e+03,2.1550e+03,2.7000e+01,2.0470e+03,4.0000e+01
1.6320e-03,2.1040e+03,2.1550e+03,2.7000e+01,2.0210e+03,4.0000e+01
1.6640e-03,2.0630e+03,2.1390e+03,2.6000e+01,1.9980e+03,3.8000e+01
1.6960e-03,2.0260e+03,2.1080e+03,2.5000e+01,1.9830e+03,3.8000e+01
1.7280e-03,1.9970e+03,2.0730e+03,2.4000e+01,1.9830e+03,3.7000e+01
1.7600e-03,1.9800e+03,2.0390e+03,2.5000e+01,2.0000e+03,3.9000e+01
1.7920e-03,1.9770e+03,2.0140e+03,2.6000e+01,2.0260e+03,3.9000e+01
1.8240e-03,1.9900e+03,1.9960e+03,2.7000e+01,2.0540e+03,4.0000e+01
1.8560e-03,2.0200e+03,1.9930e+03,2.6000e+01,2.0840e+03,3.8000e+01
1.8880e-03,2.0560e+03,1.9990e+03,2.7000e+01,2.1100e+03,3.9000e+01
1.9200e-03,2.0920e+03,2.0180e+03,2.7000e+01,2.1340e+03,4.0000e+01
1.9520e-03,2.1240e+03,2.0470e+03,2.6000e+01,2.1490e+03,3.8000e+01
1.9840e-03,2.1510e+03,2.0790e+03,2.6000e+01,2.1470e+03,3.8000e+01
2.0160e-03,2.1700e+03,2.1130e+03,2.6000e+01,2.1280e+03,3.8000e+01
2.0480e-03,2.1690e+03,2.1390e+03,2.8000e+01,2.0960e+03,4.1000e+01
2.0800e-03,2.1540e+03,2.1570e+03,2.7000e+01,2.0660e+03,4.0000e+01
2.1120e-03,2.1230e+03,2.1600e+03,2.7000e+01,2.0390e+03,4.0000e+01
2.1440e-03,2.0850e+03,2.1510e+03,2.7000e+01,2.0130e+03,4.0000e+01
2.1760e-03,2.0470e+03,2.1290e+03,2.5000e+01,1.9940e+03,3.8000e+01
2.2080e-03,2.0120e+03,2.0940e+03,2.6000e+01,1.9830e+03,3.9000e+01
2.2400e-03,1.9890e+03,2.0630e+03,2.5000e+01,1.9910e+03,3.8000e+01
2.2720e-03,1.9790e+03,2.0300e+03,2.3000e+01,2.0130e+03,3.6000e+01
2.3040e-03,1.9840e+03,2.0070e+03,2.6000e+01,2.0410e+03,3.9000e+01
